Country_Area,UN_continental,UN_statistical,Population_2018,Population_2019
 China,Asia,Eastern Asia,"1,427,647,786","1,433,783,686"
 India,Asia,Southern Asia,"1,352,642,280","1,366,417,754"
 United States,Americas,Northern America,"327,096,265","329,064,917"
 Indonesia,Asia,South-eastern Asia,"267,670,543","270,625,568"
 Pakistan,Asia,Southern Asia,"212,228,286","216,565,318"
 Brazil,Americas,South America,"209,469,323","211,049,527"
 Nigeria,Africa,Western Africa,"195,874,683","200,963,599"
 Bangladesh,Asia,Southern Asia,"161,376,708","163,046,161"
 Russia,Europe,Eastern Europe,"145,734,038","145,872,256"
 Mexico,Americas,Central America,"126,190,788","127,575,529"
 Japan,Asia,Eastern Asia,"127,202,192","126,860,301"
 Ethiopia,Africa,Eastern Africa,"109,224,414","112,078,730"
 Philippines,Asia,South-eastern Asia,"106,651,394","108,116,615"
 Egypt,Africa,Northern Africa,"98,423,598","100,388,073"
 Vietnam,Asia,South-eastern Asia,"95,545,962","96,462,106"
 DR Congo,Africa,Middle Africa,"84,068,091","86,790,567"
 Germany,Europe,Western Europe,"83,124,418","83,517,045"
 Turkey,Asia,Western Asia,"82,340,088","83,429,615"
 Iran,Asia,Southern Asia,"81,800,188","82,913,906"
 Thailand,Asia,South-eastern Asia,"68,863,514","69,037,513"
 United Kingdom,Europe,Northern Europe,"67,141,684","67,530,172"
 France,Europe,Western Europe,"64,990,511","65,129,728"
 Italy,Europe,Southern Europe,"60,627,291","60,550,075"
 South Africa,Africa,Southern Africa,"57,792,518","58,558,270"
 Tanzania,Africa,Eastern Africa,"56,313,438","58,005,463"
 Myanmar,Asia,South-eastern Asia,"53,708,320","54,045,420"
 Kenya,Africa,Eastern Africa,"51,392,565","52,573,973"
 South Korea,Asia,Eastern Asia,"51,171,706","51,225,308"
 Colombia,Americas,South America,"49,661,048","50,339,443"
 Spain,Europe,Southern Europe,"46,692,858","46,736,776"
 Argentina,Americas,South America,"44,361,150","44,780,677"
 Uganda,Africa,Eastern Africa,"42,729,036","44,269,594"
 Ukraine,Europe,Eastern Europe,"44,246,156","43,993,638"
 Algeria,Africa,Northern Africa,"42,228,408","43,053,054"
 Sudan,Africa,Northern Africa,"41,801,533","42,813,238"
 Iraq,Asia,Western Asia,"38,433,600","39,309,783"
 Afghanistan,Asia,Southern Asia,"37,171,921","38,041,754"
 Poland,Europe,Eastern Europe,"37,921,592","37,887,768"
 Canada,Americas,Northern America,"37,074,562","37,411,047"
 Morocco,Africa,Northern Africa,"36,029,093","36,471,769"
 Saudi Arabia,Asia,Western Asia,"33,702,756","34,268,528"
 Uzbekistan,Asia,Central Asia,"32,476,244","32,981,716"
 Peru,Americas,South America,"31,989,260","32,510,453"
 Malaysia,Asia,South-eastern Asia,"31,528,033","31,949,777"
 Angola,Africa,Middle Africa,"30,809,787","31,825,295"
 Mozambique,Africa,Eastern Africa,"29,496,004","30,366,036"
 Yemen,Asia,Western Asia,"28,498,683","29,161,922"
 Ghana,Africa,Western Africa,"28,206,728","28,833,629"
   Nepal,Asia,Southern Asia,"28,095,714","28,608,710"
 Venezuela,Americas,South America,"28,887,118","28,515,829"
 Madagascar,Africa,Eastern Africa,"26,262,313","26,969,307"
 North Korea,Asia,Eastern Asia,"25,549,604","25,666,161"
 Ivory Coast,Africa,Western Africa,"25,069,230","25,716,544"
 Cameroon,Africa,Middle Africa,"25,216,267","25,876,380"
 Australia,Oceania,Australia and New Zealand,"24,898,152","25,203,198"
 Taiwan,Asia,Eastern Asia,"23,726,460","23,773,876"
 Niger,Africa,Western Africa,"22,442,822","23,310,715"
 Sri Lanka,Asia,Southern Asia,"21,228,763","21,323,733"
 Burkina Faso,Africa,Western Africa,"19,751,466","20,321,378"
 Mali,Africa,Western Africa,"19,077,749","19,658,031"
 Romania,Europe,Eastern Europe,"19,506,114","19,364,557"
 Malawi,Africa,Eastern Africa,"18,143,217","18,628,747"
 Chile,Americas,South America,"18,729,160","18,952,038"
 Kazakhstan,Asia,Central Asia,"18,319,618","18,551,427"
 Zambia,Africa,Eastern Africa,"17,351,708","17,861,030"
 Guatemala,Americas,Central America,"17,247,849","17,581,472"
 Ecuador,Americas,South America,"17,084,358","17,373,662"
 Netherlands,Europe,Western Europe,"17,059,560","17,097,130"
 Syria,Asia,Western Asia,"16,945,057","17,070,135"
 Cambodia,Asia,South-eastern Asia,"16,249,792","16,486,542"
 Senegal,Africa,Western Africa,"15,854,323","16,296,364"
 Chad,Africa,Middle Africa,"15,477,729","15,946,876"
 Somalia,Africa,Eastern Africa,"15,008,226","15,442,905"
 Zimbabwe,Africa,Eastern Africa,"14,438,802","14,645,468"
 Guinea,Africa,Western Africa,"12,414,293","12,771,246"
 Rwanda,Africa,Eastern Africa,"12,301,970","12,626,950"
 Benin,Africa,Western Africa,"11,485,044","11,801,151"
 Tunisia,Africa,Northern Africa,"11,565,201","11,694,719"
 Belgium,Europe,Western Europe,"11,482,178","11,539,328"
 Bolivia,Americas,South America,"11,353,142","11,513,100"
 Cuba,Americas,Caribbean,"11,338,134","11,333,483"
 Haiti,Americas,Caribbean,"11,123,178","11,263,770"
 South Sudan,Africa,Eastern Africa,"10,975,927","11,062,113"
 Burundi,Africa,Eastern Africa,"10,524,117","10,864,245"
 Dominican Republic,Americas,Caribbean,"10,627,141","10,738,958"
 Czech Republic,Europe,Eastern Europe,"10,665,677","10,689,209"
 Greece,Europe,Southern Europe,"10,522,246","10,473,455"
 Portugal,Europe,Southern Europe,"10,256,193","10,226,187"
 Jordan,Asia,Western Asia,"9,965,318","10,101,694"
 Azerbaijan,Asia,Western Asia,"9,949,537","10,047,718"
 Sweden,Europe,Northern Europe,"9,971,638","10,036,379"
 United Arab Emirates,Asia,Western Asia,"9,630,959","9,770,529"
 Honduras,Americas,Central America,"9,587,522","9,746,117"
 Hungary,Europe,Eastern Europe,"9,707,499","9,684,679"
 Belarus,Europe,Eastern Europe,"9,452,617","9,452,411"
 Tajikistan,Asia,Central Asia,"9,100,835","9,321,018"
 Austria,Europe,Western Europe,"8,891,388","8,955,102"
 Papua New Guinea,Oceania,Melanesia,"8,606,323","8,776,109"
 Serbia,Europe,Southern Europe,"8,802,754","8,772,235"
  Switzerland,Europe,Western Europe,"8,525,611","8,591,365"
 Israel,Asia,Western Asia,"8,381,516","8,519,377"
 Togo,Africa,Western Africa,"7,889,093","8,082,366"
 Sierra Leone,Africa,Western Africa,"7,650,150","7,813,215"
 Hong Kong (China),Asia,Eastern Asia,"7,371,730","7,436,154"
 Laos,Asia,South-eastern Asia,"7,061,507","7,169,455"
 Paraguay,Americas,South America,"6,956,066","7,044,636"
 Bulgaria,Europe,Eastern Europe,"7,051,608","7,000,119"
 Lebanon,Asia,Western Asia,"6,859,408","6,855,713"
 Libya,Africa,Northern Africa,"6,678,559","6,777,452"
 Nicaragua,Americas,Central America,"6,465,501","6,545,502"
 El Salvador,Americas,Central America,"6,420,746","6,453,553"
 Kyrgyzstan,Asia,Central Asia,"6,304,030","6,415,850"
 Turkmenistan,Asia,Central Asia,"5,850,901","5,942,089"
 Singapore,Asia,South-eastern Asia,"5,757,499","5,804,337"
 Denmark,Europe,Northern Europe,"5,752,126","5,771,876"
 Finland,Europe,Northern Europe,"5,522,576","5,532,156"
 Slovakia,Europe,Eastern Europe,"5,453,014","5,457,013"
 Congo,Africa,Middle Africa,"5,244,359","5,380,508"
 Norway,Europe,Northern Europe,"5,337,962","5,378,857"
 Costa Rica,Americas,Central America,"4,999,441","5,047,561"
 Palestine,Asia,Western Asia,"4,862,979","4,981,420"
 Oman,Asia,Western Asia,"4,829,473","4,974,986"
 Liberia,Africa,Western Africa,"4,818,973","4,937,374"
 Ireland,Europe,Northern Europe,"4,818,690","4,882,495"
 New Zealand,Oceania,Australia and New Zealand,"4,743,131","4,783,063"
 Central African Republic,Africa,Middle Africa,"4,666,368","4,745,185"
 Mauritania,Africa,Western Africa,"4,403,313","4,525,696"
 Panama,Americas,Central America,"4,176,869","4,246,439"
 Kuwait,Asia,Western Asia,"4,137,312","4,207,083"
 Croatia,Europe,Southern Europe,"4,156,405","4,130,304"
 Moldova,Europe,Eastern Europe,"4,051,944","4,043,263"
 Georgia,Asia,Western Asia,"4,002,942","3,996,765"
 Eritrea,Africa,Eastern Africa,"3,452,786","3,497,117"
 Uruguay,Americas,South America,"3,449,285","3,461,734"
 Bosnia and Herzegovina,Europe,Southern Europe,"3,323,925","3,301,000"
 Mongolia,Asia,Eastern Asia,"3,170,216","3,225,167"
 Armenia,Asia,Western Asia,"2,951,745","2,957,731"
 Jamaica,Americas,Caribbean,"2,934,847","2,948,279"
 Puerto Rico (United States),Americas,Caribbean,"3,039,596","2,933,408"
 Albania,Europe,Southern Europe,"2,882,740","2,880,917"
 Qatar,Asia,Western Asia,"2,781,682","2,832,067"
 Lithuania,Europe,Northern Europe,"2,801,264","2,759,627"
 Namibia,Africa,Southern Africa,"2,448,301","2,494,530"
 Gambia,Africa,Western Africa,"2,280,094","2,347,706"
 Botswana,Africa,Southern Africa,"2,254,068","2,303,697"
 Gabon,Africa,Middle Africa,"2,119,275","2,172,579"
 Lesotho,Africa,Southern Africa,"2,108,328","2,125,268"
 North Macedonia,Europe,Southern Europe,"2,082,957","2,083,459"
 Slovenia,Europe,Southern Europe,"2,077,837","2,078,654"
 Guinea-Bissau,Africa,Western Africa,"1,874,303","1,920,922"
 Latvia,Europe,Northern Europe,"1,928,459","1,906,743"
 Bahrain,Asia,Western Asia,"1,569,446","1,641,172"
 Trinidad and Tobago,Americas,Caribbean,"1,389,843","1,394,973"
 Equatorial Guinea,Africa,Middle Africa,"1,308,975","1,355,986"
 Estonia,Europe,Northern Europe,"1,322,920","1,325,648"
 East Timor,Asia,South-eastern Asia,"1,267,974","1,293,119"
 Mauritius,Africa,Eastern Africa,"1,189,265","1,198,575"
 Cyprus,Asia,Western Asia,"1,170,125","1,179,551"
 Eswatini,Africa,Southern Africa,"1,136,281","1,148,130"
 Djibouti,Africa,Eastern Africa,"958,923","973,560"
 Fiji,Oceania,Melanesia,"883,483","889,953"
 Réunion (France),Africa,Eastern Africa,"882,526","888,927"
 Comoros,Africa,Eastern Africa,"832,322","850,886"
 Guyana,Americas,South America,"779,006","782,766"
 Bhutan,Asia,Southern Asia,"754,388","763,092"
 Solomon Islands,Oceania,Melanesia,"652,857","669,823"
 Macau (China),Asia,Eastern Asia,"631,636","640,445"
 Montenegro,Europe,Southern Europe,"627,809","627,987"
 Luxembourg,Europe,Western Europe,"604,245","615,729"
 Western Sahara,Africa,Northern Africa,"567,402","582,463"
 Suriname,Americas,South America,"575,990","581,372"
 Cape Verde,Africa,Western Africa,"543,767","549,935"
 Maldives,Asia,Southern Asia,"515,696","530,953"
 Guadeloupe (France),Americas,Caribbean,"446,928","447,905"
 Malta,Europe,Southern Europe,"439,248","440,372"
 Brunei,Asia,South-eastern Asia,"428,963","433,285"
 Belize,Americas,Central America,"383,071","390,353"
 Bahamas,Americas,Caribbean,"385,637","389,482"
 Martinique (France),Americas,Caribbean,"375,673","375,554"
 Iceland,Europe,Northern Europe,"336,713","339,031"
 Vanuatu,Oceania,Melanesia,"292,680","299,882"
 Barbados,Americas,Caribbean,"286,641","287,025"
 New Caledonia (France),Oceania,Melanesia,"279,993","282,750"
 French Guiana (France),Americas,South America,"275,713","282,731"
 French Polynesia (France),Oceania,Polynesia,"277,679","279,287"
 Mayotte (France),Africa,Eastern Africa,"259,531","266,150"
 São Tomé and Príncipe,Africa,Middle Africa,"211,028","215,056"
 Western Samoa,Oceania,Polynesia,"196,129","197,097"
 Saint Lucia,Americas,Caribbean,"181,889","182,790"
 Channel Islands (United Kingdom),Europe,Northern Europe,"170,499","172,259"
 Guam (United States),Oceania,Micronesia,"165,768","167,294"
 Curaçao (Netherlands),Americas,Caribbean,"162,752","163,424"
 Kiribati,Oceania,Micronesia,"115,847","117,606"
 Micronesia,Oceania,Micronesia,"112,640","113,815"
 Grenada,Americas,Caribbean,"111,454","112,003"
 Tonga,Oceania,Polynesia,"110,589","110,940"
 Saint Vincent and the Grenadines,Americas,Caribbean,"110,211","110,589"
 Aruba (Netherlands),Americas,Caribbean,"105,845","106,314"
 U.S. Virgin Islands (United States),Americas,Caribbean,"104,680","104,578"
 Seychelles,Africa,Eastern Africa,"97,096","97,739"
 Antigua and Barbuda,Americas,Caribbean,"96,286","97,118"
 Isle of Man (United Kingdom),Europe,Northern Europe,"84,077","84,584"
 Andorra,Europe,Southern Europe,"77,006","77,142"
 Dominica,Americas,Caribbean,"71,625","71,808"
 Cayman Islands (United Kingdom),Americas,Caribbean,"64,174","64,948"
 Bermuda (United Kingdom),Americas,Northern America,"62,756","62,506"
 Marshall Islands,Oceania,Micronesia,"58,413","58,791"
 Greenland (Denmark),Americas,Northern America,"56,564","56,672"
 Northern Mariana Islands (United States),Oceania,Micronesia,"56,882","56,188"
 American Samoa (United States),Oceania,Polynesia,"55,465","55,312"
 Saint Kitts and Nevis,Americas,Caribbean,"52,441","52,823"
 Faroe Islands (Denmark),Europe,Northern Europe,"48,497","48,678"
 Sint Maarten (Netherlands),Americas,Caribbean,"41,940","42,388"
 Monaco,Europe,Western Europe,"38,682","38,964"
 Turks and Caicos Islands (United Kingdom),Americas,Caribbean,"37,665","38,191"
 Liechtenstein,Europe,Western Europe,"37,910","38,019"
 San Marino,Europe,Southern Europe,"33,785","33,860"
 Gibraltar (United Kingdom),Europe,Southern Europe,"33,718","33,701"
 British Virgin Islands (United Kingdom),Americas,Caribbean,"29,802","30,030"
 Caribbean Netherlands (Netherlands),Americas,Caribbean,"25,711","25,979"
 Palau,Oceania,Micronesia,"17,907","18,008"
 Cook Islands (New Zealand),Oceania,Polynesia,"17,518","17,548"
 Anguilla (United Kingdom),Americas,Caribbean,"14,731","14,869"
 Tuvalu,Oceania,Polynesia,"11,508","11,646"
 Wallis and Futuna (France),Oceania,Polynesia,"11,661","11,432"
 Nauru,Oceania,Micronesia,"10,670","10,756"
 Saint Helena (United Kingdom),Africa,Western Africa,"6,035","6,059"
 Saint Pierre and Miquelon (France),Americas,Northern America,"5,849","5,822"
 Montserrat (United Kingdom),Americas,Caribbean,"4,993","4,989"
 Falkland Islands (United Kingdom),Americas,South America,"3,234","3,377"
 Niue (New Zealand),Oceania,Polynesia,"1,620","1,615"
 Tokelau (New Zealand),Oceania,Polynesia,"1,319","1,340"
Vatican City,Europe,Southern Europe,801,799
